web-scraper-order,web-scraper-start-url,containers_appartements,containers_appartements-href,nombre_de_pieces,prix_appartement,adresse_appartement,image_appartement
"1751656249-1","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sud-foire-3326162","4","350 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3326162_uploaded_image1_1631200616.jpg""); width: 448px;"
"1751656255-2","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-f5-keur-yoff-3326179","5","485 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_3326179_uploaded_image1_1631200901.jpg""); width: 527px;"
"1751656261-3","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-ngor-3326765","4","1 500 000 CFA","Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3326765_uploaded_image2_1631220958.jpeg""); width: 374px;"
"1751656269-4","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-medina-3327135","3","230 000 CFA","Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_3327135_uploaded_image1_1631256872.jpg""); width: 376px;"
"1751656277-5","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3327653","4","375 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3327653_uploaded_image2_1631273788.jpeg""); width: 590px;"
"1751656284-6","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-studio-zac-mbao-3328325","2","85 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3328325_uploaded_image2_1631297875.jpeg""); width: 559px;"
"1751656292-7","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-liberte-6-extension-3328433","3","500 000 CFA","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3328433_uploaded_image2_1631303494.jpeg""); width: 661px;"
"1751656299-8","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-rufisque-3328984","4","Prix sur demande","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_3328984_uploaded_image1_1631349835.jpg""); width: 486px;"
"1751656308-9","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3279446","4","Prix sur demande","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_3279446_uploaded_image1_1628930124.jpg""); width: 415px;"
"1751656315-10","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-fass-3329216","3","40 000 CFA","Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3329216_uploaded_image2_1631359021.jpeg""); width: 671px;"
"1751656327-11","https://sn.coinafrique.com/categorie/appartements?page=119","favorite_border3années","https://sn.coinafrique.com/annonce/appartements/location-appartements-1-pieces-ouakam-3329879","1","25 000 CFA","Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/3329879_uploaded_image2_1631386311.jpeg""); width: 438px;"
