web-scraper-order,web-scraper-start-url,containers_terrains,containers_terrains-href,superficie,prix_terrain,adresse_terrain,image_terrain
"1751656275-1","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-diamniadio-2794751","300","7 500 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2794751_uploaded_image1_1606645436.jpg""); width: 451px;"
"1751656283-2","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-sebikotane-2794777","150 m2","5 000 000 CFA","Sebikotane, Sénégal","background-image: url(""https://images.coinafrique.com/2794777_uploaded_image2_1606646221.jpeg""); width: 443px;"
"1751656291-3","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-2795685","","2 500 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2795685_uploaded_image2_1606680543.jpeg""); width: 531px;"
"1751656298-4","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-dakar-plateau-2795958","","800 000 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2795958_uploaded_image1_1606693615.jpg""); width: 383px;"
"1751656307-5","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-thies-2796059","150","1 500 000 CFA","Thies, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2796059_uploaded_image1_1606698528.jpg""); width: 424px;"
"1751656315-6","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-3900-m2-dakar-plateau-2796145","3900","800 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2796145_uploaded_image1_1606716463.jpg""); width: 371px;"
"1751656323-7","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-mbour-saly-2796839","","Prix sur demande","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2796839_uploaded_image2_1606736036.jpeg""); width: 473px;"
"1751656331-8","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrains-keur-bambilor-2797028","150 m2","8 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2797028_uploaded_image2_1606738919.jpeg""); width: 559px;"
"1751656337-9","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-mbour-2797301","","Prix sur demande","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2797301_uploaded_image1_1606744692.jpg""); width: 473px;"
"1751656343-10","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/terrain-1116-m-almadies-2797670","1116 m2","900 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2797670_uploaded_image1_1606753426.jpg""); width: 531px;"
"1751656348-11","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-keur-massar-2798085","153 m2","15 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2798085_uploaded_image1_1606768725.jpg""); width: 608px;"
"1751656355-12","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-almadies-2798463","5000 m2","1 350 000 CFA","Almadies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2798463_uploaded_image1_1606782532.jpg""); width: 562px;"
"1751656362-13","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-cite-mbakiyou-faye-2798465","200 m2","85 000 000 CFA","Mamelles, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2798465_uploaded_image1_1606782654.jpg""); width: 562px;"
"1751656370-14","https://sn.coinafrique.com/categorie/terrains?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-diamniadio-2798523","300","2 500 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2798523_uploaded_image2_1606787646.jpeg""); width: 671px;"
