web-scraper-order,web-scraper-start-url,containers_villas,containers_villas-href,type_annonce,nombre_de_pieces,prix_building,adresse_building,image_lien
"1751656343-1","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-keur-massar-2139366","Vente villa - Keur massar","","25 000 000 CFA","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2139366_uploaded_image1_1589898065.jpg""); width: 434px;"
"1751656349-2","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-3-pieces-mbour-2139396","Vente villas 3 pièces -Mbour","3","Prix sur demande","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2139396_uploaded_image1_1589898315.jpg""); width: 409px;"
"1751656357-3","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-rufisque-2139626","Vente villas 6 pièces - Rufisque","6","90 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2139626_uploaded_image1_1589900531.jpg""); width: 416px;"
"1751656366-4","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-600-m-ngaparou-2139631","Vente villa 600 m² - Ngaparou","6","175 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2139631_uploaded_image2_1589900723.jpeg""); width: 527px;"
"1751656374-5","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-keur-mbaye-fall-2139763","Vente villas - Keur Mbaye Fall","","19 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2139763_uploaded_image1_1589901839.jpg""); width: 543px;"
"1751656382-6","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-malika-plage-2139910","Vente villas - Malika plage","","55 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2139910_uploaded_image1_1589903688.jpg""); width: 543px;"
"1751656388-7","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-keur-massar-2140095","Vente villas - Keur Massar","","18 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2140095_uploaded_image1_1589905796.jpg""); width: 543px;"
"1751656395-8","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-rufisque-2140168","Vente villa 5 pièces - Rufisque","5","60 000 000 CFA","Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2140168_uploaded_image2_1589906582.jpeg""); width: 371px;"
"1751656404-9","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-mbour-ngekokh-2140245","Vente villas 4 pièces - Mbour, ngékokh","4","Prix sur demande","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2140245_uploaded_image1_1589907353.jpg""); width: 371px;"
"1751656412-10","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-titre-foncier-a-yoff-onomo-2140424","Vente villa titre  foncier  à Yoff onomo","6","270 000 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2140424_uploaded_image2_1589909872.jpeg""); width: 545px;"
"1751656420-11","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadie-2141578","Vente villa 5 pièces - Almadie","6","800 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141578_uploaded_image2_1589923197.jpeg""); width: 441px;"
"1751656428-12","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-maison-8-pieces-kounoun-2141680","Vente Maison 8 pièces - Kounoun","12","130 000 000 CFA","Diamniadio, Sénégal","background-image: url(""https://images.coinafrique.com/2141680_uploaded_image2_1589924177.jpeg""); width: 671px;"
"1751656442-13","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-3000-m-biagui-2141694","Vente Villa 3000 m² Biagui","5","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141694_uploaded_image1_1589924344.jpg""); width: 441px;"
"1751656456-14","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-almadie-2141712","Vente Villa 9 pièces Almadie","6","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141712_uploaded_image2_1589924545.jpeg""); width: 441px;"
"1751656462-15","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-fann-residence-2141884","Vente Villa 8 pièces Fann résidence","6","900 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141884_uploaded_image1_1589926255.jpg""); width: 441px;"
"1751656469-16","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-600-m-almadies-2141913","Vente Villa 600 m² - Almadies","6","65 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141913_uploaded_image2_1589926576.jpeg""); width: 441px;"
"1751656475-17","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-almadie-2141983","Vente Villa R+2 Almadie","6","400 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2141983_uploaded_image1_1589927375.jpg""); width: 441px;"
"1751656481-18","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-liberte-5-2142067","Vente villa 4 pièces - Liberté 5","3","55 000 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2142067_uploaded_image1_1589928420.jpg""); width: 371px;"
"1751656487-19","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-10-pieces-niakourab-2142406","Vente Villa R+3 10 pièces - Niakourab","16","Prix sur demande","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2142406_uploaded_image1_1589932872.jpg""); width: 464px;"
"1751656493-20","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/location-villas-13-pieces-mermoz-2145907","Location villas 13 pièces - Mermoz","13","2 500 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2145907_uploaded_image1_1589987388.jpg""); width: 614px;"
"1751656499-21","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-tiwaoune-peul-2146064","Vente villas - Tiwaoune peul","","17 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146064_uploaded_image1_1589988961.jpg""); width: 543px;"
"1751656506-22","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-250-m2-cite-adama-diop-2146129","Vente villa 250 m2  - Cité adama diop","5","55 000 000 CFA","Guédiawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146129_uploaded_image2_1589989886.03.jpeg""); width: 443px;"
"1751656512-23","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-2146406","Vente villa 4 pièces - Keur Massar","4","Prix sur demande","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2146406_uploaded_image2_1589994623.jpeg""); width: 429px;"
"1751656518-24","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-400-m-angle-2146839","Vente villa 400 m² - Angle","5","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146839_uploaded_image2_1590000569.83.jpeg""); width: 618px;"
"1751656524-25","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-dakar-2146847","Vente villa R+1 - Dakar","8","75 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146847_uploaded_image1_1590000663.jpg""); width: 382px;"
"1751656532-26","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-dakar-2146934","Vente villa R+1 - Dakar","5","65 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146934_uploaded_image2_1590001972.jpeg""); width: 382px;"
"1751656539-27","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-400-m-2146948","Vente villa 400 m²","6","600 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2146948_uploaded_image2_1590002142.49.jpeg""); width: 618px;"
"1751656545-28","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-523-m-sicap-baobab-2147342","Vente Villa à démolir 523 m² - Sicap Baobab","523 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2147342_uploaded_image1_1590008047.jpg""); width: 548px;"
"1751656550-29","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-523-m-sicap-baobab-2147368","Vente Villa à démolir 523 m² - Sicap Baobab","523 m2","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2147368_uploaded_image1_1590008509.jpg""); width: 548px;"
"1751656557-30","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-toubab-dialao-2147685","Vente Villa 10 Pièces - Toubab Dialao","10","80 000 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/2147685_uploaded_image2_1590012010.jpeg""); width: 371px;"
"1751656562-31","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-mbour-2147714","Vente villas 4 pièces - Mbour","4","120 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2147714_uploaded_image1_1590012340.jpg""); width: 371px;"
"1751656568-32","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbour-2147717","Vente Villa 4 Pièces - Mbour","4","120 000 000 CFA","Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/2147717_uploaded_image1_1590012361.jpg""); width: 371px;"
"1751656574-33","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-point-e-2147789","Vente villa R+1 - Point E","800 m2","1 000 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2147789_uploaded_image2_1590013230.jpeg""); width: 382px;"
"1751656580-34","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-almadies-2147940","Location Villa 6 Pièces - Almadies","","800 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2147940_uploaded_image1_1590015433.jpg""); width: 379px;"
"1751656585-35","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-800-m-toubab-dialao-2148352","Vente Villa 9 pièces 800 m² - Toubab Dialao","9","80 000 000 CFA","Toubab Dialao, Sénégal","background-image: url(""https://images.coinafrique.com/2148352_uploaded_image1_1590021115.jpg""); width: 371px;"
"1751656592-36","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-saly-2148430","Vente Villa 7 pièces -  Saly","8","350 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2148430_uploaded_image1_1590022134.jpg""); width: 621px;"
"1751656597-37","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-onomo-2148920","Vente villa R+2 - Onomo","210 m2","270 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2148920_uploaded_image1_1590036296.jpg""); width: 469px;"
"1751656603-38","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-liberte-5-2148968","Vente Villa - Sicap-Liberté 5","4","62 000 000 CFA","Sicap Liberté, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2148968_uploaded_image2_1590037492.jpeg""); width: 371px;"
"1751656609-39","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-226-m-cite-air-france-2149000","Vente Villa 5 pièces 226 m² - Cité Air France","5","78 000 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2149000_uploaded_image1_1590038041.jpg""); width: 371px;"
"1751656615-40","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-sipres-01-2149082","Location Villa 4 pièces - Sipres 01","4","400 000 CFA","Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2149082_uploaded_image1_1590039033.jpg""); width: 371px;"
"1751656621-41","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-guediawaye-2149415","Vente Villa 3 pièces - Guédiawaye","3","Prix sur demande","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2149415_uploaded_image1_1590045066.jpg""); width: 459px;"
"1751656627-42","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-yof-f-2150977","Vente villa  8 piéces -  Yof f","10","270 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2150977_uploaded_image1_1590062012.jpg""); width: 382px;"
"1751656633-43","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-mamelles-2151154","Vente villa 7 piéces -  Mamelles","10","250 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151154_uploaded_image1_1590064120.jpg""); width: 382px;"
"1751656639-44","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-ngor-virage-2151471","Vente villa - Ngor virage","9","Prix sur demande","Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151471_uploaded_image1_1590067946.jpg""); width: 464px;"
"1751656649-45","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villas-et-terrains-2151671","Vente Villas et terrains","","Prix sur demande","Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2151671_uploaded_image2_1590070558.jpeg""); width: 424px;"
"1751656654-46","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-dakar-2152960","Vente Villa R+3 - Dakar","","100 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2152960_uploaded_image1_1590085302.jpg""); width: 423px;"
"1751656660-47","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mariste-r1-2153390","Vente Villa 4 pièces mariste R+1","254 m2","130 000 000 CFA","Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2153390_uploaded_image1_1590092438.jpg""); width: 537px;"
"1751656667-48","https://sn.coinafrique.com/categorie/villas?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-a-diass-2153642","Vente villa R+1 à Diass","150 m2","60 000 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2153642_uploaded_image1_1590096812.jpg""); width: 548px;"
